Neighborhood,Neighborhood Location,Venue,Venue Location,Venue Category,Summary
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Best for Bride in Toronto,"(43.75571979646036, -79.43788253603987)",Bridal Shop,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Wimpy's Diner,"(43.75620987159905, -79.43929448082638)",Diner,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Dairy Queen,"(43.75567964325238, -79.44016579234159)",Fast Food Restaurant,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",TD Canada Trust,"(43.7562323, -79.4390254)",Bank,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Wakame Sushi,"(43.755382185036986, -79.44094461257187)",Sushi Restaurant,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Pizza Pizza,"(43.75531145041057, -79.44112566629565)",Pizza Place,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Popeyes,"(43.754671343663034, -79.44274006861691)",Fried Chicken Joint,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Subway,"(43.75572798067668, -79.43988217796945)",Sandwich Place,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Shoppers Drug Mart,"(43.756204016589244, -79.43958897502529)",Pharmacy,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Sheppard Plaza,"(43.75569512647938, -79.43961347354475)",Shopping Mall,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Yogurty's,"(43.756190568366485, -79.43941837290544)",Frozen Yogurt Shop,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Rogers,"(43.75575664597711, -79.44005186942444)",Video Store,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Sunrise Foods & Catering,"(43.75517797040956, -79.4416685761199)",Grocery Store,This spot is popular
"Bathurst Manor, Downsview North, Wilson Heights","(43.7543283, -79.4422593)",Burnett Park,"(43.75758512081283, -79.43985525270034)",Park,This spot is popular
"Northwood Park, York University","(43.7679803, -79.48726190000001)",MUSE Massage Spa,"(43.7656861872247, -79.4893183666046)",Massage Studio,This spot is popular
"Northwood Park, York University","(43.7679803, -79.48726190000001)",Tim Hortons,"(43.764289283166015, -79.48879033327103)",Coffee Shop,This spot is popular
"Northwood Park, York University","(43.7679803, -79.48726190000001)",Fox & Fiddle,"(43.76379461939549, -79.48849672002802)",Bar,This spot is popular
"Northwood Park, York University","(43.7679803, -79.48726190000001)",Finch West Subway Station,"(43.76510685746509, -79.49117202171209)",Metro Station,This spot is popular
"CFB Toronto, Downsview East","(43.737473200000004, -79.46476329999999)",Toronto Downsview Airport (YZD),"(43.738882611749744, -79.47011109314882)",Airport,This spot is popular
"CFB Toronto, Downsview East","(43.737473200000004, -79.46476329999999)",Ttc Bus #120 - Plewes Rd,"(43.734898, -79.464221)",Bus Stop,This spot is popular
"CFB Toronto, Downsview East","(43.737473200000004, -79.46476329999999)",Ancaster Park,"(43.73470570807407, -79.46477740817078)",Park,This spot is popular
"CFB Toronto, Downsview East","(43.737473200000004, -79.46476329999999)",VAUGHAN GARAGE DOOR REPAIR,"(43.73487711449948, -79.46858424693346)",Other Repair Shop,This spot is popular
Downsview West,"(43.7390146, -79.5069436)",TD Canada Trust,"(43.740369455302194, -79.51237499713898)",Bank,This spot is popular
Downsview West,"(43.7390146, -79.5069436)",84 Sheppard Bus At Jane,"(43.739408882165506, -79.51198141023148)",Moving Target,This spot is popular
Downsview West,"(43.7390146, -79.5069436)",Price Chopper,"(43.73990841084056, -79.51226143309357)",Grocery Store,This spot is popular
Downsview West,"(43.7390146, -79.5069436)",jane sheppard mall,"(43.740104399774324, -79.51255243633483)",Shopping Mall,This spot is popular
Downsview Central,"(43.7284964, -79.49569740000001)",Roding Park,"(43.728655041194294, -79.49291760986993)",Baseball Field,This spot is popular
Downsview Central,"(43.7284964, -79.49569740000001)",Yummy Dogs,"(43.72651174068901, -79.50127950136176)",Food Truck,This spot is popular
Downsview Northwest,"(43.7616313, -79.52099940000001)",LCBO,"(43.759256617873106, -79.51945388294175)",Liquor Store,This spot is popular
Downsview Northwest,"(43.7616313, -79.52099940000001)",Durante's No Frills,"(43.75926044271617, -79.51892671819911)",Grocery Store,This spot is popular
Downsview Northwest,"(43.7616313, -79.52099940000001)",Dollarama,"(43.75931883562195, -79.51843269938222)",Discount Store,This spot is popular
Downsview Northwest,"(43.7616313, -79.52099940000001)",Driftwood community centre,"(43.76567959563023, -79.51970643195256)",Athletics & Sports,This spot is popular
Downsview Northwest,"(43.7616313, -79.52099940000001)",Planet Fitness,"(43.757538, -79.51961)",Gym / Fitness Center,This spot is popular
Victoria Village,"(43.72588229999999, -79.31557159999998)",Victoria Village Arena,"(43.72348055545508, -79.31563520925143)",Hockey Arena,This spot is popular
Victoria Village,"(43.72588229999999, -79.31557159999998)",Portugril,"(43.72581876267242, -79.31278541470671)",Portuguese Restaurant,This spot is popular
Victoria Village,"(43.72588229999999, -79.31557159999998)",Tim Hortons,"(43.725516631714754, -79.31310251366091)",Coffee Shop,This spot is popular
Victoria Village,"(43.72588229999999, -79.31557159999998)",Eglinton Ave E & Sloane Ave/Bermondsey Rd,"(43.726086, -79.31362)",Intersection,This spot is popular
Victoria Village,"(43.72588229999999, -79.31557159999998)",Pizza Nova,"(43.725823726352196, -79.31286041792907)",Pizza Place,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Jawny Bakers,"(43.705782646822, -79.31291304477831)",Gastropub,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Toronto Climbing Academy,"(43.70913601216024, -79.31479000098285)",Rock Climbing Spot,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",East York Gymnastics,"(43.710654, -79.309279)",Gym / Fitness Center,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Shoppers Drug Mart,"(43.705891688821325, -79.31241024393087)",Pharmacy,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",TD Canada Trust,"(43.705739883755946, -79.31227013468737)",Bank,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Pizza Pizza,"(43.70515901620182, -79.31312955571528)",Pizza Place,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Nostalgia,"(43.706832771917064, -79.31178314223835)",Café,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Rise & Dine Eatery,"(43.705769, -79.311638)",Breakfast Spot,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Harvey's,"(43.71072995920288, -79.30883762217763)",Fast Food Restaurant,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",St. Clair Ave E & O'Connor Dr,"(43.70523283448301, -79.31327432821826)",Intersection,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Venice Pizza,"(43.70592051370348, -79.31395663414658)",Pizza Place,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",Harvey's,"(43.70813627814792, -79.3141045886623)",Fast Food Restaurant,This spot is popular
"Woodbine Gardens, Parkview Hill","(43.7063972, -79.30993699999998)",TKTO - Toronto Knife Throwing Organization,"(43.7099660731501, -79.31341111891099)",Athletics & Sports,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",East York Memorial Arena,"(43.69722441688202, -79.31539709142582)",Skating Rink,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",The Beer Store,"(43.6937312, -79.3167591)",Beer Store,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",East York Curling Club,"(43.69682672948465, -79.31365836861947)",Curling Ice,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",Shoppers Drug Mart,"(43.699244, -79.318939)",Pharmacy,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",Stan Wadlow Park,"(43.697835820584395, -79.31430328766514)",Park,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",Dance Kids Canada,"(43.69656332566334, -79.31738459562442)",Dance Studio,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",Luxy Nails,"(43.69285615840882, -79.3158494567113)",Spa,This spot is popular
Woodbine Heights,"(43.695343900000005, -79.3183887)",Beauty Boutique by Shoppers Drug Mart,"(43.69951391408613, -79.31928709190193)",Cosmetics Shop,This spot is popular
The Beaches,"(43.67635739999999, -79.2930312)",Grover Pub and Grub,"(43.679181434941015, -79.29721535878515)",Pub,This spot is popular
The Beaches,"(43.67635739999999, -79.2930312)",Starbucks,"(43.67879837444001, -79.2980449760153)",Coffee Shop,This spot is popular
The Beaches,"(43.67635739999999, -79.2930312)",Upper Beaches,"(43.68056321147582, -79.2928688743688)",Neighborhood,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Local Leaside,"(43.71001166793114, -79.36351433524794)",Sports Bar,This spot is popular
Leaside,"(43.7090604, -79.3634517)",LCBO,"(43.710571304463954, -79.36028703241085)",Liquor Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Olde Yorke Fish & Chips,"(43.706141306111306, -79.3618288170822)",Fish & Chips Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Rack Attack,"(43.70693351467496, -79.36226108591485)",Sporting Goods Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",CrossFit Toronto,"(43.7080995557005, -79.35905992984772)",Gym,This spot is popular
Leaside,"(43.7090604, -79.3634517)",The Leaside Pub,"(43.710428911854564, -79.36354706165021)",Restaurant,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Aroma Espresso Bar,"(43.70561065613986, -79.36077468518098)",Coffee Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Enduro Sport,"(43.70605947915959, -79.36183454315712)",Bike Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Kintako Japanese Restaurant,"(43.71159659251094, -79.36396207124376)",Sushi Restaurant,This spot is popular
Leaside,"(43.7090604, -79.3634517)",South St. Burger,"(43.71051026319384, -79.36158441272885)",Burger Joint,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Longo's,"(43.70643262604979, -79.35975310254634)",Supermarket,This spot is popular
Leaside,"(43.7090604, -79.3634517)",PetSmart,"(43.7126819, -79.3626365)",Pet Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Bulk Barn,"(43.70611573147322, -79.36054145695127)",Grocery Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Booster Juice,"(43.70617277, -79.36065194)",Smoothie Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Golf Town,"(43.70940869587626, -79.3623167837894)",Sporting Goods Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Leaside Village,"(43.70568229146645, -79.36077693042236)",Shopping Mall,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Winners,"(43.7094205909056, -79.36093211174)",Clothing Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Tim Hortons,"(43.70562930215073, -79.36102831503376)",Coffee Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Five Guys,"(43.70563811973093, -79.36121130859895)",Burger Joint,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Subway,"(43.710410108561625, -79.36185814836224)",Sandwich Place,This spot is popular
Leaside,"(43.7090604, -79.3634517)",TD Canada Trust and ATM,"(43.711620471105384, -79.36354860663414)",Bank,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Cupcakes,"(43.70602656677556, -79.36086417950665)",Dessert Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Sunset Grill,"(43.71008051140994, -79.36252937590784)",Breakfast Spot,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Amsterdam Barrel House,"(43.70602053200777, -79.36132913641597)",Brewery,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Sport Chek,"(43.70985360457569, -79.36045518457757)",Sporting Goods Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Pier 1 Imports,"(43.7133394919619, -79.3643121421883)",Furniture / Home Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Mucho Burrito Fresh Mexican Grill,"(43.706746, -79.361707)",Mexican Restaurant,This spot is popular
Leaside,"(43.7090604, -79.3634517)",The Beer Store,"(43.7057389, -79.3604382)",Beer Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Starbucks,"(43.71034154336832, -79.36094765905699)",Coffee Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Best Buy,"(43.709255121223215, -79.36168044805527)",Electronics Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Sobeys Urban Fresh,"(43.71004104355862, -79.3596836535354)",Grocery Store,This spot is popular
Leaside,"(43.7090604, -79.3634517)",The Great Canadian Bagel,"(43.71327461980094, -79.36502672732136)",Bagel Shop,This spot is popular
Leaside,"(43.7090604, -79.3634517)",Supperworks,"(43.71197716478581, -79.35968174236694)",Food & Drink Shop,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Iqbal Kebab & Sweet Centre,"(43.705923230061344, -79.35152127765924)",Indian Restaurant,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Costco Wholesale,"(43.70705091308799, -79.3480933503406)",Warehouse Store,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Bikram Yoga East York,"(43.70545001006983, -79.35144826217264)",Yoga Studio,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Iqbal foods,"(43.70575095291481, -79.35205378554073)",Grocery Store,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Hakka Garden,"(43.704578351261326, -79.34977027417523)",Indian Restaurant,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Subway,"(43.704627625493806, -79.34966067001598)",Sandwich Place,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Hero Certified Burgers,"(43.70551137025456, -79.34706447492002)",Burger Joint,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Shoppers Drug Mart,"(43.70620905709154, -79.34669185112756)",Pharmacy,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Tim Hortons,"(43.7051097173569, -79.3505948781967)",Coffee Shop,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Pizza Pizza,"(43.705564293137044, -79.34713894303022)",Pizza Place,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",TD Canada Trust,"(43.7063562, -79.3456426)",Bank,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Food Basics,"(43.7053872932289, -79.34733754588716)",Supermarket,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Cross Fit Quantum,"(43.70688280775818, -79.35081900071673)",Gym / Fitness Center,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Fit4Less,"(43.70583800582371, -79.34617056231423)",Gym,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",LCBO,"(43.706700447882305, -79.34501827004178)",Liquor Store,This spot is popular
Thorncliffe Park,"(43.7053689, -79.34937190000001)",Leaside park,"(43.70217669622919, -79.35137675914693)",Park,This spot is popular
East Toronto,"(43.685347, -79.3381065)",Danforth & Jones,"(43.684351653891696, -79.33479207124671)",Intersection,This spot is popular
East Toronto,"(43.685347, -79.3381065)",The Path,"(43.68392344354094, -79.33500661843325)",Park,This spot is popular
East Toronto,"(43.685347, -79.3381065)",Sammon Convenience,"(43.68695102703702, -79.33500661843325)",Convenience Store,This spot is popular
East Toronto,"(43.685347, -79.3381065)",Donlands Subway Station,"(43.680960108016805, -79.33775865441376)",Metro Station,This spot is popular
East Toronto,"(43.685347, -79.3381065)",The Red Rocket,"(43.68804803553563, -79.33327372317169)",Coffee Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Pantheon,"(43.67762124481265, -79.35143390043564)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Dolce Gelato,"(43.677772998450614, -79.35118737317053)",Ice Cream Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",MenEssentials,"(43.677820068604575, -79.35126543045044)",Cosmetics Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Messini Authentic Gyros,"(43.677827494513096, -79.35056873157725)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Mezes,"(43.6779622615441, -79.35019606997218)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Cafe Fiorentina,"(43.677743, -79.350115)",Italian Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Christina's On The Danforth,"(43.678239784878826, -79.34918494943804)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Moksha Yoga Danforth,"(43.67762174479883, -79.3521159367257)",Yoga Studio,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",The Big Carrot Natural Food Market,"(43.67763071285667, -79.35307590618733)",Health Food Store,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Louis Cifer Brew Works,"(43.677662745359996, -79.3513125762371)",Brewery,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",The Auld Spot Pub,"(43.67733505610778, -79.35312964755529)",Pub,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",7 Numbers,"(43.677061774959824, -79.35393428891682)",Italian Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Valley Farm Produce,"(43.677999294687275, -79.3499690927287)",Fruit & Vegetable Store,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",La Diperie,"(43.67753, -79.352295)",Ice Cream Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Pizzeria Libretto,"(43.678488633358, -79.34757579277853)",Pizza Place,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Rikkochez,"(43.677267, -79.353274)",Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Pan on the Danforth,"(43.678263168189865, -79.34864777195595)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Astoria Shish Kebob House,"(43.67768890877185, -79.35189216872803)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",The Big Carrot Organic Juice Bar,"(43.677501678, -79.352775574)",Juice Bar,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Don Valley Trail,"(43.67633091997674, -79.35392333297455)",Trail,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Re: Reading,"(43.678506570428084, -79.34767758382526)",Bookstore,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Ouzeri,"(43.678192920575846, -79.34890781832556)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Detroit Eatery,"(43.67759437002395, -79.35176144372598)",Diner,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Caffé Demetre,"(43.67768266377745, -79.35160842812537)",Dessert Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Tsaa Tea Shop,"(43.67776898684133, -79.35130446081268)",Bubble Tea Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Alexandros,"(43.67830448799868, -79.34948556208978)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Athen's Pastries,"(43.67816589533113, -79.34892679522846)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Sher-E-Punjab,"(43.67730788939673, -79.35306551709385)",Indian Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Urban Nails,"(43.676667789021906, -79.35660190332753)",Spa,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Bulk Barn,"(43.67678989740336, -79.35586511284247)",Grocery Store,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Dough Bakeshop,"(43.67664308520287, -79.35684634585105)",Bakery,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Simone's Caribbean Restaurant,"(43.67865547474292, -79.34658157954753)",Caribbean Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Cafe Frappe,"(43.67812618087551, -79.34843379217203)",Coffee Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Book City,"(43.67741319707514, -79.3527341009978)",Bookstore,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Marvel Coffee Co.,"(43.678644519699546, -79.34743850749999)",Coffee Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Second Cup,"(43.67733262717039, -79.35281821092143)",Coffee Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Asteria Souvlaki Place,"(43.6772132765305, -79.3542485444854)",Greek Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Factory Girl,"(43.67669287762859, -79.35629876225282)",American Restaurant,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Menchies,"(43.67830909198205, -79.34810528402672)",Ice Cream Shop,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",LCBO,"(43.676815838008714, -79.35604671347544)",Liquor Store,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Kitchen Stuff Plus,"(43.67861256318158, -79.34642163596001)",Furniture / Home Store,This spot is popular
"The Danforth West, Riverdale","(43.6795571, -79.352188)",Starbucks,"(43.67872968094713, -79.34618766287778)",Coffee Shop,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",The Burger's Priest,"(43.66661154298639, -79.31553079617778)",Burger Joint,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Brett's Ice Cream,"(43.667222, -79.312831)",Ice Cream Shop,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",System Fitness,"(43.667171452103204, -79.31273345707406)",Gym,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",LCBO,"(43.66673150624233, -79.31496605090986)",Liquor Store,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",British Style Fish & Chips,"(43.66872336908457, -79.31713935234417)",Fish & Chips Shop,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Woodbine Park,"(43.66486036311473, -79.31510925292969)",Park,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Casa di Giorgio,"(43.66664527559903, -79.31520351125722)",Italian Restaurant,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Godspeed Brewery,"(43.67262030152577, -79.31922849103603)",Brewery,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",O Sushi,"(43.66668372330836, -79.3166142781831)",Sushi Restaurant,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Murphy's Law,"(43.66731906186093, -79.31265587607287)",Pub,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",The Tulip Steakhouse,"(43.66634820248808, -79.31685400996346)",Steakhouse,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Burrito Bandidos,"(43.66644546137557, -79.31644740429473)",Burrito Place,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Pet Valu,"(43.66697917950893, -79.31466465565389)",Pet Store,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Harvey's,"(43.66666258400179, -79.3150811802549)",Fast Food Restaurant,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Alliance Cinemas - The Beach,"(43.666746976047506, -79.31468500467349)",Movie Theater,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Subway,"(43.666238, -79.317019)",Sandwich Place,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Shop Task - Inline Skate Shop,"(43.66652898514072, -79.31618481874466)",Board Shop,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Pizzaiolo,"(43.66895319839045, -79.31168339331794)",Pizza Place,This spot is popular
"The Beaches West, India Bazaar","(43.6689985, -79.31557159999998)",Country Style,"(43.66736023093123, -79.31240424329896)",Coffee Shop,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Ed's Real Scoop,"(43.660655832455014, -79.3420187548006)",Ice Cream Shop,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Leslieville Pumps,"(43.66089221309069, -79.34062599380812)",Sandwich Place,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Te Aro,"(43.66137281675049, -79.33857736283377)",Coffee Shop,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Queen Books,"(43.6606506251737, -79.34226723956905)",Bookstore,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Hooked,"(43.66040731524296, -79.34325721641623)",Fish Market,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Mercury Espresso Bar,"(43.66080615235188, -79.34124064841119)",Coffee Shop,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Leslieville Cheese Market,"(43.66054639296253, -79.3423024562941)",Cheese Shop,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Purple Penguin Cafe,"(43.660501150739734, -79.34256490845178)",Café,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",eastside social,"(43.661288901982886, -79.33915476536174)",Comfort Food Restaurant,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Leslieville,"(43.66207024392778, -79.33785619823739)",Neighborhood,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Baldini,"(43.661299966369135, -79.33902686943661)",Italian Restaurant,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Mean Bao,"(43.66141729879085, -79.34020909620433)",Chinese Restaurant,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Belmonte Raw Food And Juice Bar,"(43.66137349549827, -79.33865024613198)",Juice Bar,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Brick Street Breads,"(43.66068453213004, -79.3425013474948)",Bakery,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Tabule,"(43.65973096534363, -79.3463408134466)",Middle Eastern Restaurant,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Lil' Baci,"(43.6605116572649, -79.34315072724176)",Italian Restaurant,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Boxcar Social,"(43.659722741351565, -79.34687077721378)",Café,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Bonjour Brioche,"(43.65973440286799, -79.34626614342186)",Bakery,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Wonder Pens,"(43.662809067344405, -79.34145159601191)",Stationery Store,This spot is popular
Studio District,"(43.6595255, -79.34092299999998)",Rashers,"(43.66085865399193, -79.34111111209337)",New American Restaurant,This spot is popular
