Area,Latitude,Longitude,Northeast Bound,Southwest Bound,county_radius
"Butler, Alabama",32.0971784354477,-88.21949432475688,"(32.1264919, -88.183453)","(32.067835, -88.25546489999999)",4704.922267093669
"Chambers, Alabama",32.91934415757437,-85.3594813667523,"(33.109038, -85.1221889)","(32.72853, -85.5936529)",30564.683296377174
"Cherokee, Alabama",34.75843731094806,-87.96877022060552,"(34.7714689, -87.953328)","(34.7454011, -87.9841989)",2022.0184250169445
"Choctaw, Alabama",32.00477211917451,-88.20380654876476,"(32.3105738, -87.92824979999999)","(31.6978811, -88.4732269)",42726.6245719114
"Clarke, Alabama",31.58913631436533,-87.84602396885344,"(31.991355, -87.50093009999999)","(31.1854861, -88.180821)",55292.53798641092
"Cleburne, Alabama",33.71750137498975,-85.59862916065123,"(33.964204, -85.3044391)","(33.4692259, -85.8877819)",38603.44119481023
"Coffee, Alabama",31.400959495385653,-85.99441680812092,"(31.619311, -85.789139)","(31.182023, -86.196365)",31086.733932991516
"Coosa, Alabama",32.92987419203548,-86.26252088873022,"(33.1047019, -85.99974809999999)","(32.7534339, -86.522283)",31284.977763105824
"Covington, Alabama",31.26197668886583,-86.44739061612698,"(31.529623, -86.18687609999999)","(30.9932579, -86.7027909)",38659.21269503634
"Cullman, Alabama",34.17521531844596,-86.8388142412718,"(34.25071, -86.77655209999999)","(34.0996929, -86.90072699999999)",10151.38178702089
"Dale, Alabama",31.40807220140192,-85.60497793334149,"(31.6205659, -85.415334)","(31.195179, -85.7915809)",29658.33641360602
"Dallas, Alabama",32.38926912533423,-87.1440834587127,"(32.729532, -86.806867)","(32.0472019, -87.47307990000002)",49262.7219521758
"DeKalb, Alabama",34.530292937621155,-85.81944873144595,"(34.8603709, -85.512669)","(34.199262, -86.118911)",46161.848471585334
"Franklin, Alabama",32.457331874166066,-85.80615828843952,"(32.4792238, -85.7852839)","(32.435434, -85.82699900000001)",3121.658682639631
"Greene, Alabama",32.835941355252615,-87.95989656156154,"(33.1536569, -87.706271)","(32.5177271, -88.20749699999999)",42466.83002861943
"Lamar, Alabama",33.79102534810859,-88.11221723304725,"(34.058333, -87.946305)","(33.523987, -88.2746189)",33383.80876972116
"Macon, Alabama",32.41501928984943,-85.73009543219611,"(32.5959329, -85.433543)","(32.231949, -86.023164)",34337.91883061548
"Marengo, Alabama",32.2696736631721,-87.79836070397936,"(32.5472678, -87.472206)","(31.989832, -88.118344)",43462.66741723626
"Marion, Alabama",32.63610873740259,-87.3167172287152,"(32.6726339, -87.284151)","(32.59957, -87.34919579999999)",5073.6199456121385
"Marshall, Alabama",34.35015373377461,-86.32214776001864,"(34.6001428, -86.057712)","(34.099097, -86.581936)",36867.117942391305
"Monroe, Alabama",31.53199974685651,-87.34965631249392,"(31.831795, -86.9058989)","(31.2272679, -87.78479589999999)",53622.76283104993
"Pike, Alabama",31.839938218515258,-85.93064462978828,"(32.06189000000001, -85.6576681)","(31.6164141, -86.1994078)",35661.96631464021
"Randolph, Alabama",33.304366446042245,-85.4446533941335,"(33.5013778, -85.23237800000001)","(33.106634, -85.65394909999999)",29451.81703298773
"Sumter, Alabama",32.65213965158222,-88.13486509688903,"(32.9958599, -87.840858)","(32.307437, -88.42145289999999)",47020.996980424745
"Talladega, Alabama",33.431679464749756,-86.10463319848625,"(33.4708519, -86.048718)","(33.392437, -86.160403)",6775.170095906276
"Tallapoosa, Alabama",32.80003718044315,-85.80600613778347,"(33.10734, -85.592989)","(32.49297, -86.013897)",39474.29853278707
"Wilcox, Alabama",32.05028107023995,-87.26496208045387,"(32.2690361, -86.8565759)","(31.8271231, -87.6679449)",45523.891526043844
"Winston, Alabama",34.146763274016514,-87.37456706468467,"(34.306997, -87.10991109999999)","(33.984882, -87.636573)",30175.277740977534
"Cochise, Arizona",31.886817682052012,-109.76196582312669,"(32.4276521, -109.047612)","(31.33250189999999, -110.4609171)",90423.87687283222
"Coconino, Arizona",35.651594152484705,-112.09641258752164,"(37.0032748, -110.750671)","(34.2584109, -113.3541759)",192601.98248201594
"Maricopa, Arizona",33.04350636712795,-111.99678729165213,"(33.087708, -111.9274209)","(32.99918710000001, -112.066049)",8126.219013693192
"Mohave, Arizona",35.62033002879482,-113.68289907745051,"(37.0007699, -112.5289679)","(34.2096259, -114.755928)",184939.2794964538
"Pima, Arizona",32.89473084285632,-109.83908720991032,"(32.918181, -109.812646)","(32.871262, -109.8655009)",3589.3727522337176
"Pinal, Arizona",32.99281578482106,-111.33250949124938,"(33.466104, -110.4483541)","(32.5012019, -112.2037359)",98178.90739541112
"Yavapai, Arizona",34.717638534793096,-112.41460733839514,"(35.531137, -111.4612991)","(33.882312, -113.334161)",125506.28113929507
"Yuma, Arizona",32.6058542487525,-114.57238493060902,"(32.732294, -114.45913)","(32.4790669, -114.684986)",17594.363372616488
"Graham, Arizona",33.044647183929804,-109.79541694030077,"(33.65275099999999, -109.1139871)","(32.424475, -110.458136)",92675.87479418953
"Greenlee, Arizona",33.10212980994557,-109.27773220941144,"(33.778748, -109.046564)","(32.4261768, -109.495774)",78063.0375074948
"Navajo, Arizona",35.953579530996365,-109.49553194615523,"(37.4617319, -106.943005)","(34.303261, -111.8922061)",285009.4265031858
"Benton, Arkansas",34.59232209070664,-92.56826171619126,"(34.6501849, -92.5148201)","(34.534409, -92.621493)",8076.020265334314
Cleveland CountyArkansas,33.88501550188906,-92.21577947638978,"(34.064141, -91.9531969)","(33.7041941, -92.475602)",31362.48500186447
"Craighead, Arkansas",35.8498601774229,-90.66321908213301,"(35.99641, -90.2867069)","(35.6999179, -91.036965)",37670.87531636841
"Crawford, Arkansas",35.558679714506944,-94.19446281403457,"(35.7646359, -93.89224709999999)","(35.3505899, -94.4931299)",35651.3156698388
"Crittenden, Arkansas",35.13749033494544,-90.28805470586087,"(35.44176290000001, -90.064612)","(34.83296990000001, -90.506475)",39404.48514265816
"Faulkner, Arkansas",35.10581135943721,-92.35709777978312,"(35.3683951, -92.111463)","(34.842218, -92.598367)",36723.29943733146
"Garland, Arkansas",33.36043224796953,-93.71286314024702,"(33.3717281, -93.703677)","(33.349135, -93.722042)",1516.729094945492
"Grant, Arkansas",34.2783329729254,-92.44487587419435,"(34.4958529, -92.2080409)","(34.0596369, -92.67838300000001)",32505.404775379076
Jefferson CountyArkansas,34.27957698510808,-91.83475024241056,"(34.492766, -91.4314759)","(34.0623119, -92.23337590000001)",43985.33543186976
"Lincoln, Arkansas",35.95216407411101,-94.41123503007849,"(35.970863, -94.38255009999999)","(35.9334458, -94.43988999999999)",3316.6921558254144
"Little River, Arkansas",33.74089110622313,-94.15701195792903,"(33.945281, -93.824483)","(33.533673, -94.4858781)",38225.471009166315
"Lonoke, Arkansas",34.79084455333039,-91.90417748226102,"(34.812013, -91.875435)","(34.7696569, -91.93288299999999)",3525.990567638906
"Madison, Arkansas",35.020758137936014,-90.72920991390842,"(35.035604, -90.70721209999999)","(35.005901, -90.75118800000001)",2596.6369264804434
"Miller, Arkansas",33.316670748441396,-93.85663526246157,"(33.6140891, -93.6655179)","(33.019067, -94.0434499)",37467.45267793134
"Perry, Arkansas",35.04470433607896,-92.79482192581341,"(35.049418, -92.78634079999999)","(35.0399889, -92.8033009)",933.9201869430791
"Pulaski, Arkansas",34.753475739559114,-92.39532935843285,"(35.0144839, -92.029507)","(34.4893519, -92.75545179999999)",44235.999451755895
"Saline, Arkansas",34.63717002550838,-92.6622144563002,"(34.8591281, -92.244209)","(34.4108808, -93.075279)",45511.605356300875
"Sebastian, Arkansas",35.19137045749228,-94.24005975433721,"(35.4511678, -94.0285468)","(34.930929, -94.44777409999999)",34651.13149696926
"Washington, Arkansas",33.77297880991635,-93.6834050896895,"(33.7806259, -93.6746)","(33.7653299, -93.692206)",1176.696561785845
"Arkansas, Arkansas",34.825284197334426,-92.26057669516629,"(36.4997491, -89.64483790000001)","(33.0041059, -94.61791900000001)",300996.5181323889
"Ashley, Arkansas",33.2036134785321,-91.80230795774685,"(33.398214, -91.45733399999999)","(33.0059151, -92.1435959)",38705.33374168768
"Baxter, Arkansas",36.2367086303714,-92.37467183460856,"(36.4987378, -92.150295)","(35.9740221, -92.5949748)",35368.05222233341
"Boone, Arkansas",36.30679435571219,-93.07878999960535,"(36.49843, -92.8540489)","(36.114132, -93.30082809999999)",29302.385866687146
"Bradley, Arkansas",33.09857049844707,-93.65651189312882,"(33.1076839, -93.64875900000001)","(33.089456, -93.66425989999999)",1243.1040755939864
"Calhoun, Arkansas",33.53646605203644,-92.54606780145424,"(33.802198, -92.3110859)","(33.26978990000001, -92.77674390000001)",36655.56077938045
"Carroll, Arkansas",36.311313797051845,-93.59470000981615,"(36.499316, -93.2956858)","(36.1212638, -93.8905419)",33979.64949034064
"Chicot, Arkansas",33.28411409262418,-91.25422897976124,"(33.5636969, -91.043604)","(33.0041059, -91.460516)",36678.16424905227
"Clark, Arkansas",34.056573789423226,-93.19224984344203,"(34.340851, -92.87660199999999)","(33.7701209, -93.50220809999999)",42904.22732363971
"Clay, Arkansas",36.3512749810935,-90.43608320884518,"(36.49867589999999, -90.062733)","(36.200601, -90.8066159)",37262.8485452826
"Cleburne, Arkansas",35.535833659090045,-92.02255119190748,"(35.71219, -91.789823)","(35.3582869, -92.252759)",28763.7609622591
"Columbia, Arkansas",33.23694584789728,-93.23623533656756,"(33.455045, -92.97846899999999)","(33.0172681, -93.49051999999999)",34071.586950276695
"Conway, Arkansas",35.07640362199038,-92.46148625932413,"(35.146803, -92.380752)","(35.005866, -92.5418589)",10731.781981317647
"Cross, Arkansas",35.29741661743587,-90.77359897257962,"(35.449711, -90.502169)","(35.1433679, -91.0426701)",29897.63601889102
Dallas CountyArkansas,33.97672969525156,-92.64934852414902,"(34.1558769, -92.33421489999999)","(33.7950639, -92.9614189)",35230.12065634509
"Drew, Arkansas",33.59158876606564,-91.73453824023927,"(33.7922461, -91.4503249)","(33.38895400000001, -92.015334)",34492.549871193754
"Franklin, Arkansas",36.16589242604671,-91.76663750193885,"(36.187215, -91.738563)","(36.1445529, -91.794675)",3460.7588651246924
"Fulton, Arkansas",33.61265775726403,-93.81383708884826,"(33.616957, -93.80911890000002)","(33.608358, -93.81855399999999)",647.3776150851128
"Greene, Arkansas",36.117683186913695,-90.52650451357643,"(36.267992, -90.190207)","(35.964708, -90.86010209999999)",34541.37437231534
"Hempstead, Arkansas",33.74316802118795,-93.7152616765936,"(34.0088989, -93.45625489999999)","(33.476075, -93.96974809999999)",37986.73938404389
"Hot Spring, Arkansas",34.49235665432452,-93.05730269019868,"(34.5582639, -92.985023)","(34.4263369, -93.129278)",9873.827793955255
"Howard, Arkansas",34.051932220949766,-94.04083737857754,"(34.3556291, -93.8207219)","(33.747709, -94.2561279)",39324.54438106049
"Independence, Arkansas",35.73594197096444,-91.53633679079991,"(35.942963, -91.19762290000001)","(35.526271, -91.87098309999999)",38263.27438455501
"Izard, Arkansas",36.06513831205231,-91.94629240524048,"(36.2612478, -91.674143)","(35.867411, -92.215203)",32759.062931915796
"Jackson, Arkansas",35.62282746703101,-91.31106187628279,"(35.890024, -91.032499)","(35.354245, -91.584682)",38905.28680298961
"Johnson, Arkansas",36.13352036356165,-94.17291371013657,"(36.149737, -94.1477937)","(36.117289, -94.1980109)",2889.5325060606274
"Lawrence, Arkansas",36.07045064026116,-91.05403624449578,"(36.2578989, -90.7474709)","(35.88087, -91.35723)",34546.79253369339
"Lee, Arkansas",34.771226643447,-90.75646597102707,"(34.9119418, -90.407944)","(34.6274869, -91.102542)",35494.228980770786
Logan CountyArkansas,35.22716383295573,-93.71223729726627,"(35.430011, -93.2782929)","(35.0197151, -94.141835)",45422.16385316099
"Marion, Arkansas",35.203456417827226,-90.20761867836295,"(35.2532659, -90.128098)","(35.153499, -90.286903)",9107.246529722446
"Mississippi, Arkansas",35.69598002322614,-89.97025238782942,"(36.00086, -89.64483790000001)","(35.389277, -90.289017)",44816.40704775413
Monroe CountyArkansas,34.67031631488848,-91.22697301206969,"(35.0042611, -91.0004579)","(34.3362559, -91.447795)",42447.101295917004
"Montgomery, Arkansas",34.54387485033238,-93.66626123435306,"(34.746463, -93.393889)","(34.339527, -93.935378)",33595.20060269868
"Pike, Arkansas",34.147547248194996,-93.65532557130709,"(34.350097, -93.370302)","(33.9430119, -93.93700609999999)",34556.24205517792
"Polk, Arkansas",34.46017629346435,-94.20257741840798,"(34.7289619, -93.9301009)","(34.189864, -94.4703399)",38908.37903177464
"Pope, Arkansas",35.42348757637698,-93.05703251621637,"(35.728831, -92.8097629)","(35.11737400000001, -93.299014)",40621.31663034991
"Prairie, Arkansas",34.78576570152045,-91.5764430282373,"(35.091411, -91.3438499)","(34.4796391, -91.803879)",40015.89194233982
"Randolph, Arkansas",36.30799473908028,-91.07973126469672,"(36.498689, -90.74838299999999)","(36.1148021, -91.407437)",36485.75870886932
"Scott, Arkansas",34.69782298396729,-92.09921747737832,"(34.718784, -92.0719869)","(34.6768449, -92.126413)",3410.3100674554453
"Searcy, Arkansas",35.232302619655,-91.73108100438502,"(35.26954, -91.66088390000002)","(35.1949451, -91.80113589999999)",7607.966963442821
"Sevier, Arkansas",33.972593089815646,-94.21970692628743,"(34.192596, -93.958618)","(33.750994, -94.477299)",34295.934913627956
"Saint Francis, Arkansas",36.45508743533755,-90.14320418444922,"(36.4615739, -90.1382)","(36.4486008, -90.148206)",848.1206633906589
"Union, Arkansas",33.200827373377834,-92.53088574687206,"(33.387887, -92.0691049)","(33.008162, -92.988715)",47779.346230994204
"Van Buren, Arkansas",35.44551765379754,-94.35668971389411,"(35.4862429, -94.2977339)","(35.40471, -94.41550889999999)",7003.747227287349
"White, Arkansas",35.27915569302782,-91.73548806239776,"(35.5342119, -91.3452789)","(35.020575, -92.119833)",45354.937390432686
"Woodruff, Arkansas",35.17944135625699,-91.26152033022993,"(35.445845, -91.039782)","(34.912452, -91.479075)",35779.933264759384
"Yell, Arkansas",35.03237090255168,-93.30660993041816,"(35.3174019, -92.896109)","(34.7433929, -93.710297)",48972.20877673445
"Alameda, California",37.7541641460343,-122.28208149572164,"(37.80062789999999, -122.2237791)","(37.70763, -122.3402809)",7279.9235266625465
"Butte, California",39.72634341547189,-121.57755545320505,"(40.152032, -121.076695)","(39.295668, -122.069431)",63841.355349172
"Contra Costa, California",37.91105046048704,-121.98893226189941,"(38.0998779, -121.5341021)","(37.7186291, -122.4415839)",45218.72849880035
"El Dorado, California",38.679684080291,-120.84190540603103,"(38.6916132, -120.8342878)","(38.6677537, -120.8495181)",1480.8525581748588
"Fresno, California",36.785751660248216,-119.7949104019587,"(36.908905, -119.6546399)","(36.66216190000001, -119.934483)",18535.44292734814
"Imperial, California",32.84343607289781,-115.56531578824209,"(32.8690799, -115.5357561)","(32.8177699, -115.5948461)",3968.2626686499552
"Kern, California",35.30989832340719,-118.91174630641936,"(35.7982019, -117.616195)","(34.7906088, -120.1941521)",130410.28992539771
"Kings, California",36.14078236060507,-119.89753365368288,"(36.4889409, -119.4743419)","(35.7886781, -120.3150679)",54266.75954523477
"Los Angeles, California",34.02133185679318,-118.41360569450715,"(34.3373061, -118.1552891)","(33.7036519, -118.6681759)",42385.62567721308
"Madera, California",36.96811847498217,-120.10889153957262,"(37.00736, -120.034061)","(36.9287689, -120.183635)",7961.933055673395
"Marin, California",38.069377043288966,-122.74268240581922,"(38.320945, -122.3474541)","(37.8148146, -123.1345229)",44549.939938959425
"Merced, California",37.29880328417702,-120.47151379735413,"(37.3756909, -120.3994271)","(37.221798, -120.543354)",10660.684286975033
"Monterey, California",36.61093818105943,-121.86753978110849,"(36.651559, -121.8081099)","(36.5702451, -121.926888)",6971.1546444736505
"Napa, California",38.28601163654494,-122.29005105903387,"(38.3508341, -122.2221959)","(38.221091, -122.357721)",9328.098689545557
"Orange, California",33.80771144329369,-117.8172918907843,"(33.8471814, -117.7297706)","(33.7680868, -117.9047361)",9214.297535750049
"Placer, California",39.0187499851749,-120.74641835385262,"(39.316496, -120.002461)","(38.7115019, -121.4843759)",72563.48093732572
"Riverside, California",33.946185246176626,-117.39966323455626,"(34.01951409999999, -117.275174)","(33.872517, -117.523882)",14097.770324223033
"Sacramento, California",38.561689788661035,-121.44323913585076,"(38.685507, -121.325705)","(38.437574, -121.56012)",17139.956935896404
"San Benito, California",36.59576296661604,-121.12403999132708,"(36.988847, -120.596562)","(36.1968479, -121.644004)",64306.53718332721
"San Bernardino, California",34.14907409215516,-117.29487437970921,"(34.2476399, -117.164972)","(34.0501128, -117.4243172)",16222.56631642674
"San Diego, California",32.82510390662056,-117.11043887080658,"(33.114249, -116.90816)","(32.534856, -117.3097969)",37227.70950825678
"San Joaquin, California",36.60487483993069,-120.19614760478602,"(36.614464, -120.1732441)","(36.5952761, -120.2190459)",2309.1864296890694
"San Mateo, California",37.556554125274246,-122.31567098902542,"(37.6021349, -122.275478)","(37.510937, -122.3557821)",6180.785885573363
"Santa Barbara, California",34.3987128424829,-119.7499518338378,"(34.4611451, -119.6399201)","(34.336029, -119.859791)",12265.104407163106
"Santa Clara, California",37.37090693550151,-121.96759538893632,"(37.418939, -121.9297351)","(37.3228419, -122.00537)",6297.550972184406
"Santa Cruz, California",36.97592754864965,-122.04751264506768,"(37.0108489, -121.9862189)","(36.9409339, -122.1087411)",6694.535180456182
"Shasta, California",40.65475559536497,-122.49970780017273,"(40.74999800000001, -122.4353931)","(40.559429, -122.563696)",11891.414133644785
"Solano, California",38.28697939449699,-122.00187698752501,"(38.53904989999999, -121.5932731)","(38.031721, -122.406964)",45422.69557861022
"Sonoma, California",38.29110318041686,-122.44910750884239,"(38.3075908, -122.416089)","(38.2745959, -122.48211)",3419.8307313205855
"Stanislaus, California",37.609341028298616,-120.94224218190928,"(38.077421, -120.3873291)","(37.134774, -121.4867749)",71417.2986105657
"Sutter, California",39.15690955586512,-121.75073144786273,"(39.1716399, -121.728776)","(39.1421699, -121.772675)",2505.1705691701727
"Tulare, California",36.18560024661464,-119.34439721069471,"(36.2476798, -119.2958041)","(36.1234639, -119.392845)",8157.493825908163
"Ventura, California",34.30258341498106,-119.24890112907812,"(34.3714917, -119.1452588)","(34.233439, -119.3523163)",12228.373330452481
"Yolo, California",38.73855851170201,-121.80901962095571,"(38.750153, -121.7968741)","(38.7269609, -121.8211591)",1664.8464934851834
"Yuba, California",39.13136392564686,-121.64330648844036,"(39.175446, -121.597591)","(39.087238, -121.688934)",6290.653036592186
"Alpine, California",32.844046516605324,-116.7569134433451,"(32.8890919, -116.694641)","(32.798908, -116.8190919)",7678.551725442948
"Amador, California",38.46560453512722,-120.55184529019893,"(38.709022, -120.072332)","(38.217951, -121.02771)",49863.8181817545
"Calaveras, California",38.17310987291465,-120.51085140693847,"(38.5099899, -120.019951)","(37.8314219, -120.995647)",57020.94000673514
"Colusa, California",39.20372069325016,-122.00787052319015,"(39.2183459, -121.988425)","(39.189088, -122.027305)",2336.1621852869634
"Del Norte, California",41.69281147444158,-123.98209857781006,"(42.001047, -123.517907)","(41.380776, -124.440707)",51629.8713529173
Glenn CountyCalifornia,39.59417534314399,-122.39885520529259,"(39.8005609, -121.856381)","(39.3829459, -122.938413)",52004.70971391175
"Humboldt, California",40.7365272942252,-123.95398460522024,"(41.465846, -123.40604)","(40.0012479, -124.482003)",93160.86727728914
"Inyo, California",36.65099555470887,-117.23967447545333,"(37.465238, -115.6483569)","(35.7867619, -118.7900311)",169195.20392985363
"Lake, California",39.125990435746104,-122.72127778581569,"(39.5814, -122.340172)","(38.667506, -123.0942159)",60310.14807951195
"Lassen, California",40.45069819227906,-120.67591235367533,"(41.184514, -119.995598)","(39.7076579, -121.3323379)",99707.99636967086
"Mariposa, California",37.48213490395342,-119.96758829993243,"(37.503389, -119.946806)","(37.4608711, -119.9883511)",2990.466050922253
"Mendocino, California",39.31153462924896,-123.82613770673238,"(39.323305, -123.7706701)","(39.29972000000001, -123.8816)",4960.329105160806
"Modoc, California",41.59525814695547,-120.73326832939136,"(41.9976131, -119.998287)","(41.183484, -121.4572129)",75878.76704347426
"Mono, California",38.09639623478359,-118.75280674735254,"(38.713212, -117.8327259)","(37.4625879, -119.651509)",105908.63992377625
"Nevada, California",39.26076413569928,-121.02364975875285,"(39.277901, -121.007795)","(39.2436219, -121.0394919)",2343.476324031838
"Plumas, California",40.02806086016682,-120.80406482771491,"(40.4497149, -120.0993391)","(39.5972639, -121.4978801)",76270.98177705727
"Sierra, California",39.58652052582469,-120.53078983183326,"(39.776877, -120.00082)","(39.391485, -121.058203)",50273.95892953739
"Siskiyou, California",41.511528348977684,-122.59182949182653,"(42.0095169, -121.445994)","(40.992193, -123.7191741)",110698.43617480324
"Tehama, California",40.02254914398553,-122.12677319641398,"(40.030414, -122.115589)","(40.0146819, -122.137954)",1293.8954181359222
"Trinity, California",40.676136899252214,-123.04457434696768,"(41.368139, -122.4454531)","(39.9770151, -123.6238909)",91926.24843887112
"Tuolumne, California",37.961342531437,-120.2459293701007,"(37.9820829, -120.225574)","(37.940593, -120.266266)",2915.3235994987267
"Adams, Colorado",39.873328291515165,-104.38019174236483,"(40.0014781, -103.705695)","(39.7368789, -105.0533389)",59603.13945086776
"Arapahoe, Colorado",38.85361663277331,-102.17577565277526,"(38.8599568, -102.1675191)","(38.847275, -102.1840294)",1004.4964128675863
"Boulder, Colorado",40.02934694827694,-105.24009564880255,"(40.0945509, -105.178197)","(39.9640689, -105.3017579)",8961.36254974496
"Clear Creek, Colorado",39.796993287297326,-105.04268279911034,"(39.8336613, -104.9476466)","(39.7601455, -105.1375908)",9101.978987364872
"Douglas, Colorado",39.349036233052026,-104.9966275070065,"(39.5662499, -104.6605159)","(39.1294379, -105.3292199)",37667.835698163566
"Elbert, Colorado",39.217550816601495,-104.54173615462904,"(39.224971, -104.5329579)","(39.210129, -104.5505109)",1119.49591567936
"El Paso, Colorado",38.827511227029326,-104.56561745378903,"(39.129939, -104.051525)","(38.51944900000001, -105.0725291)",55816.02342796634
"Gilpin, Colorado",39.84218676690337,-105.54946176270546,"(39.938091, -105.3974449)","(39.745801, -105.7007841)",16807.998013496064
"Jefferson, Colorado",39.37844039980474,-105.80047949682772,"(39.3809124, -105.7974168)","(39.3759682, -105.8035418)",380.73349960994074
"Larimer, Colorado",40.632094342038236,-105.5747018552078,"(40.998441, -104.9430519)","(40.2577839, -106.1954379)",67087.99196943594
"Mesa, Colorado",39.17001695900932,-108.13096678488117,"(39.1763583, -108.1200156)","(39.1636731, -108.141915)",1179.518298950852
"Pueblo, Colorado",38.26743152180713,-104.5910997527142,"(38.345385, -104.460868)","(38.1891058, -104.7208689)",14307.21030228328
"Teller, Colorado",38.88903426848165,-105.13626075793195,"(39.129819, -104.9389771)","(38.647531, -105.330643)",31725.82615471132
"Weld, Colorado",40.50679147501191,-104.32442285658271,"(41.0020541, -103.5733061)","(40.000251, -105.0567199)",83952.41717278503
"Alamosa, Colorado",37.46745521419214,-105.8817977952721,"(37.494062, -105.853224)","(37.44083, -105.910331)",3886.82900008299
"Archuleta, Colorado",37.21072533991714,-106.98114450996546,"(37.4236229, -106.476229)","(36.992424, -107.4824129)",50719.50526731303
"Baca, Colorado",37.321853819908014,-102.56810086018821,"(37.64442409999999, -102.040878)","(36.9930159, -103.087277)",58810.2075611462
"Bent, Colorado",37.95673869866776,-103.07531334170474,"(38.2677959, -102.7403461)","(37.6432991, -103.404426)",45332.71921166223
"Chaffee, Colorado",38.741409992945016,-106.24180935974981,"(39.057908, -105.878033)","(38.4220909, -106.5995161)",47226.582779983175
"Cheyenne, Colorado",38.833082754012985,-102.61116076804761,"(39.0470818, -102.044792)","(38.6124499, -103.1729429)",54650.05667334566
Conejos CountyColorado,37.20118995908939,-106.20011320474136,"(37.403663, -105.7181558)","(36.993758, -106.678705)",48374.469518330174
"Crowley, Colorado",38.19265888196483,-103.85728247500596,"(38.195682, -103.8480121)","(38.189634, -103.866552)",878.7247678369738
